R32X00181	Tempo (Japan, USA) (Beta) (1995-01-26)
R32X00182	Tempo (Japan, USA) (Beta) (1995-02-04)
R32X00183	Tempo (Japan, USA) (Beta) (1995-02-06)
R32X00184	Tempo (Japan, USA) (Beta) (1995-02-06) (Alt 1)
R32X00185	Tempo (Japan, USA) (Beta) (1995-02-07)
R32X00186	Toughman Contest (USA, Europe)
R32X00187	Virtua Fighter (Europe)
R32X00188	Virtua Fighter (Japan, USA)
R32X00189	Virtua Fighter (Japan, USA) (Beta) (1995-05-30)
R32X00190	Virtua Fighter (Japan, USA) (Beta) (1995-06-15)
R32X00191	Virtua Fighter (Japan, USA) (Beta) (1995-06-30)
R32X00192	Virtua Fighter (Japan, USA) (Beta) (1995-07-17)
R32X00193	Virtua Fighter (Japan, USA) (Beta) (1995-07-21)
R32X00194	Virtua Fighter (Japan, USA) (Beta) (1995-07-24)
R32X00195	Virtua Fighter (Japan, USA) (Beta) (1995-07-25)
R32X00196	Virtua Hamster (USA) (Proto)
R32X00197	Virtua Racing Deluxe (Europe)
R32X00198	Virtua Racing Deluxe (Japan)
R32X00199	Virtua Racing Deluxe (USA)
R32X00200	Virtua Racing Deluxe (USA) (Beta) (1994-08-22)
R32X00201	Virtua Racing Deluxe (USA) (Beta) (1994-08-29)
R32X00202	Virtua Racing Deluxe (USA) (Beta) (1994-09-05)
R32X00203	World Series Baseball Starring Deion Sanders (USA)
R32X00204	WWF Raw (World)
R32X00205	WWF WrestleMania - The Arcade Game (USA)
R32X00206	X-Men (USA) (Proto)
