RNES00281	Flying Warriors (USA)
RNES00282	Formula 1 Sensation (Europe)
RNES00283	Formula One - Built to Win (USA)
RNES00284	Fox's Peter Pan & the Pirates - The Revenge of Captain Hook (USA)
RNES00285	Frankenstein - The Monster Returns (USA)
RNES00286	Freedom Force (USA)
RNES00287	Friday the 13th (USA)
RNES00288	Fun House (USA)
RNES00289	G.I. Joe - A Real American Hero (USA)
RNES00290	G.I. Joe - The Atlantis Factor (USA)
RNES00291	Galactic Crusader (USA) (Unl)
RNES00292	Galaga - Demons of Death (USA)
RNES00293	Galaxy 5000 (USA)
RNES00294	Gargoyle's Quest II (USA)
RNES00295	Gauntlet (USA)
RNES00296	Gauntlet II (USA)
RNES00297	Gekitou Pro Wrestling!! - Toukon Densetsu (Japan)
RNES00298	Gemfire (USA)
RNES00299	Genghis Khan (USA)
RNES00300	George Foreman's KO Boxing (USA)
RNES00301	Ghostbusters (USA)
RNES00302	Ghostbusters II (USA)
RNES00303	Ghosts'n Goblins (USA)
RNES00304	Ghoul School (USA)
RNES00305	Goal! (USA)
RNES00306	Goal! Two (USA)
RNES00307	Godzilla - Monster of Monsters! (USA)
RNES00308	Godzilla 2 - War of the Monsters (USA)
RNES00309	Golf (USA)
RNES00310	Golf Grand Slam (USA)
RNES00311	Golgo 13 - Top Secret Episode (USA)
RNES00312	Goonies (USA)
RNES00313	Goonies II, The (USA)
RNES00314	Gotcha! - The Sport! (USA)
RNES00315	Gradius (USA)
RNES00316	Grand Master (Japan)
RNES00317	Great Waldo Search, The (USA)
RNES00318	Greg Norman's Golf Power (USA)
RNES00319	Gremlins 2 - The New Batch (USA)
RNES00320	Guardian Legend, The (USA)
RNES00321	Guerrilla War (USA)
RNES00322	Gumshoe (USA, Europe)
RNES00323	Gun Nac (USA)
RNES00324	Gun.Smoke (USA)
RNES00325	Gyromite (World)
RNES00326	Gyruss (USA)
RNES00327	Hammerin' Harry (Europe)
RNES00328	Happy Birthday Bugs (Japan)
RNES00329	Harlem Globetrotters (USA)
RNES00330	Hatris (USA)
RNES00331	Heavy Barrel (USA)
RNES00332	Heavy Shreddin' (USA)
RNES00333	Hell Fighter (Unl) (USA)
RNES00334	High Speed (USA)
RNES00335	Hogan's Alley (World)
RNES00336	Hollywood Squares (USA)
RNES00337	Home Alone (USA) (Rev A)
RNES00338	Home Alone 2 - Lost in New York (USA)
RNES00339	Hook (USA)
RNES00340	Hoops (USA)
RNES00341	Hudson Hawk (USA)
RNES00342	Hunt for Red October, The (USA) (Rev A)
RNES00343	Hydlide (USA)
RNES00344	Ice Climber (USA, Europe)
RNES00345	Ice Hockey (USA)
RNES00346	Ikari Warriors (USA) (Rev A)
RNES00347	Ikari Warriors II - Victory Road (USA)
RNES00348	Ikari Warriors III - The Rescue (USA)
RNES00349	Image Fight (USA)
RNES00350	Immortal, The (USA)
RNES00351	Impossible Mission II (USA) (Unl)
RNES00352	Incredible Crash Dummies, The (USA)
RNES00353	Indiana Jones and the Last Crusade (USA) (Taito)
RNES00354	Indiana Jones and the Last Crusade (USA) (UBI Soft)
RNES00355	Indiana Jones and the Temple of Doom (USA) (Rev A)
RNES00356	Infiltrator (USA)
RNES00357	International Cricket (Australia)
RNES00358	Iron Tank - The Invasion of Normandy (USA)
RNES00359	Isolated Warrior (USA)
RNES00360	Ivan 'Ironman' Stewart's Super Off Road (USA)
RNES00361	Jack Nicklaus' Greatest 18 Holes of Major Championship Golf (USA)
RNES00362	Jackal (USA)
RNES00363	Jackie Chan's Action Kung Fu (USA)
RNES00364	James Bond Jr (USA)
RNES00365	Jaws (USA)
RNES00366	Jeopardy! (USA) (Rev A)
RNES00367	Jeopardy! 25th Anniversary Edition (USA)
RNES00368	Jeopardy! Junior Edition (USA)
RNES00369	Jesus - Tale of the Dreadful Bio-Monster (USA)
RNES00370	Jetsons, The - Cogswell's Caper (USA)
RNES00371	Jimmy Connors Tennis (USA)
RNES00372	Joe & Mac (USA)
RNES00373	John Elway's Quarterback (USA)
RNES00374	Jordan vs Bird - One On One (USA)
RNES00375	Joshua & the Battle of Jericho (USA) (v6.0) (Unl)
RNES00376	Journey to Silius (USA)
RNES00377	Joust (USA)
RNES00378	Jovial Race (Unknown) (Unl)
RNES00379	Jungle Book, The (USA)
RNES00380	Jurassic Park (USA)
RNES00381	Kabuki - Quantum Fighter (USA)
RNES00382	Karate Champ (USA) (Rev A)
RNES00383	Karate Kid, The (USA)
RNES00384	Karnov (USA)
RNES00385	Kick Master (USA)
RNES00386	Kick Off (Europe)
RNES00387	Kickle Cubicle (USA)
RNES00388	Kid Icarus (USA, Europe)
RNES00389	Kid Klown in Night Mayor World (USA)
RNES00390	Kid Kool and the Quest for the Seven Wonder Herbs (USA)
RNES00391	Kid Niki - Radical Ninja (USA) (Rev A)
RNES00392	King Neptune's Adventure (USA) (Unl)
RNES00393	King of Kings, The (USA) (v5.0) (Unl)
RNES00394	King's Knight (USA)
RNES00395	King's Quest V (USA)
RNES00396	Kings of the Beach - Professional Beach Volleyball (USA)
RNES00397	Kirby's Adventure (USA) (Rev A)
RNES00398	Kiwi Kraze - A Bird-Brained Adventure! (USA)
RNES00399	Klash Ball (USA)
RNES00400	Klax (USA) (Unl)
RNES00401	Knight Rider (USA)
RNES00402	Konami Hyper Soccer (Europe)
RNES00403	Krazy Kreatures (USA) (Unl)
RNES00404	Krion Conquest, The (USA)
RNES00405	Krusty's Fun House (USA)
RNES00406	Kung Fu (Japan, USA)
RNES00407	Kung-Fu Heroes (USA)
RNES00408	Labyrinth (Japan)
RNES00409	Laser Invasion (USA)
RNES00410	Last Action Hero (USA)
RNES00411	Last Ninja, The (USA)
RNES00412	Last Starfighter, The (USA)
RNES00413	Lee Trevino's Fighting Golf (USA)
RNES00414	Legacy of the Wizard (USA)
RNES00415	Legend of Kage, The (USA)
RNES00416	Legend of Prince Valiant, The (Europe)
RNES00417	Legend of the Ghost Lion (USA)
RNES00418	Legend of Zelda II, The - The Adventure of Link (USA)
RNES00419	Legend of Zelda, The  - Outlands (USA) (Hack)
RNES00420	Legend of Zelda, The - Dawn of Evil (USA) (Hack)
RNES00421	Legend of Zelda, The (USA) (Rev A)
RNES00422	Legendary Wings (USA)
RNES00423	Legends of the Diamond - The Baseball Championship Game (USA)
RNES00424	Lemmings (USA)
RNES00425	Lethal Weapon (USA)
RNES00426	Life Force (USA)
RNES00427	Linus Spacehead's Cosmic Crusade (USA) (En,Fr,De,Es) (Unl)
RNES00428	Lion King, The (Europe)
RNES00429	Little League Baseball - Championship Series (USA)
RNES00430	Little Mermaid, The (USA)
RNES00431	Little Nemo - The Dream Master (USA)
RNES00432	Little Ninja Brothers (USA)
RNES00433	Little Red Hood (Australia) (Unl)
RNES00434	Little Samson (USA)
RNES00435	Lode Runner (USA)
RNES00436	Lone Ranger, The (USA)
RNES00437	Loopz (USA)
RNES00438	Low G Man - The Low Gravity Man (USA)
RNES00439	Lunar Pool (USA)
RNES00440	M.C. Kids (USA)
RNES00441	M.U.L.E. (USA)
RNES00442	M.U.S.C.L.E. - Tag Team Match (USA)
RNES00443	Mach Rider (Japan, USA) (Rev A)
RNES00444	Mad Max (USA)
RNES00445	Mafat Conspiracy, The (USA)
RNES00446	Magic Darts (USA)
RNES00447	Magic Johnson's Fast Break (USA)
RNES00448	Magic of Scheherazade, The (USA)
RNES00449	Magician (USA)
RNES00450	Magmax (USA)
RNES00451	Major League Baseball (USA) (Rev A)
RNES00452	Maniac Mansion (USA)
RNES00453	Mappy-Land (USA)
RNES00454	Marble Madness (USA)
RNES00455	Mario Bros. (World)
RNES00456	Mario Is Missing! (USA)
RNES00457	Mario's Time Machine (USA)
RNES00458	Master Chu and the Drunkard Hu (USA) (Unl)
RNES00459	Maxi 15 (USA) (Rev 1) (Unl)
RNES00460	Maxi-15 Pack (Australia) (Unl)
RNES00461	Mechanized Attack (USA)
RNES00462	Mega Man (USA)
RNES00463	Mega Man 2 (USA)
RNES00464	Mega Man 3 (USA)
RNES00465	Mega Man 4 (USA) (Rev A)
RNES00466	Mega Man 5 (USA)
RNES00467	Mega Man 6 (USA)
RNES00468	Menace Beach (USA) (Unl)
RNES00469	Mendel Palace (USA)
RNES00470	Mermaids of Atlantis - The Riddle of the Magic Bubble (USA) (Unl)
RNES00471	Metal Fighter (USA) (Unl)
RNES00472	Metal Gear (USA)
RNES00473	Metal Mech - Man & Machine (USA)
RNES00474	Metal Storm (USA)
RNES00475	Metro-Cross (Japan)
RNES00476	Metroid (USA)
RNES00477	Michael Andretti's World GP (USA)
RNES00478	Mickey Mousecapade (USA)
RNES00479	Mickey's Adventure in Numberland (USA)
RNES00480	Mickey's Safari in Letterland (USA)
RNES00481	Micro Machines (USA) (Unl)
RNES00482	MiG 29 - Soviet Fighter (USA) (Unl)
RNES00483	Might & Magic - Secret of the Inner Sanctum (USA)
RNES00484	Mighty Bomb Jack (USA)
RNES00485	Mighty Final Fight (USA)
RNES00486	Mike Tyson's Punch-Out!! (Japan, USA) (Rev A)
RNES00487	Millipede (USA)
RNES00488	Milon's Secret Castle (USA)
RNES00489	Mind Blower Pak (Australia) (Unl)
RNES00490	Miracle Piano Teaching System, The (USA)
RNES00491	Mission Cobra (USA) (Unl)
RNES00492	Mission Impossible (USA)
RNES00493	Monopoly (USA)
RNES00494	Monster in My Pocket (USA)
RNES00495	Monster Party (USA)
RNES00496	Monster Truck Rally (USA)
RNES00497	Moon Ranger (USA) (Unl)
RNES00498	Mother (USA)
RNES00499	Motor City Patrol (USA)
RNES00500	Mr. Gimmick (Europe)
RNES00501	Ms. Pac-Man (USA)
RNES00502	Muppet Adventure - Chaos at the Carnival (USA)
RNES00503	Mutant Virus, The - Crisis in a Computer World (USA)
RNES00504	Mystery Quest (USA)
RNES00505	NARC (USA)
RNES00506	NES Open Tournament Golf (USA)
RNES00507	NES Play Action Football (USA)
RNES00508	New Ghostbusters II (Europe)
RNES00509	New Zealand Story, The (Europe)
RNES00510	NFL (USA)
RNES00511	Nigel Mansell's World Championship Challenge (USA)
RNES00512	Nightmare on Elm Street, A (USA)
RNES00513	Nightshade (USA)
RNES00514	Ninja Crusaders (USA)
RNES00515	Ninja Gaiden (USA)
RNES00516	Ninja Gaiden II - The Dark Sword of Chaos (USA)
RNES00517	Ninja Gaiden III - The Ancient Ship of Doom (USA)
RNES00518	Ninja Kid (USA)
RNES00519	Nintendo World Championships 1990 (USA)
RNES00520	Nintendo World Cup (USA)
RNES00521	Noah's Ark (Europe)
RNES00522	Nobunaga's Ambition (USA)
RNES00523	Nobunaga's Ambition II (USA)
RNES00524	Nomolos - Storming the Castle (USA) (Demo)
RNES00525	North and South (USA)
RNES00526	Nuts & Milk (USA)
RNES00527	Operation Secret Storm (USA) (Unl)
RNES00528	Operation Wolf (USA) (Rev 0A)
RNES00529	Orb 3D (USA)
RNES00530	Othello (USA)
RNES00531	Over Horizon (Europe)
RNES00532	Overlord (USA)
RNES00533	P.O.W. - Prisoners of War (USA)
RNES00534	P'radikus Conflict, The (USA) (Unl)
RNES00535	Pac-Man (USA) (Namco)
RNES00536	Pac-Man (USA) (Tengen)
RNES00537	Pac-Mania (USA) (Unl)
RNES00538	Palamedes (USA)
RNES00539	Panic Restaurant (USA)
RNES00540	Paperboy (USA)
RNES00541	Paperboy 2 (USA)
RNES00542	Parasol Stars - Rainbow Islands II (Europe)
RNES00543	Parodius (Europe)
RNES00544	Penguin & Seal, The (Asia, Australia) (Unl)
RNES00545	Pesterminator (USA) (Unl)
RNES00546	Phantom Fighter (USA)
RNES00547	Pictionary - The Game of Video Quick Draw (USA)
RNES00548	Pin-Bot (USA)
RNES00549	Pinball (World)
RNES00550	Pinball Quest (USA)
RNES00551	Pipe Dream (USA)
RNES00552	Pirates! (USA)
RNES00553	Platoon (USA) (Rev A)
RNES00554	Popeye (World) (Rev A)
RNES00555	Power Blade (USA)
RNES00556	Power Blade 2 (USA)
RNES00557	Power Punch II (USA)
RNES00558	Predator (USA)
RNES00559	Prince of Persia (USA)
RNES00560	Princess Tomato in Salad Kingdom (USA)
RNES00561	Pro Sport Hockey (USA)
RNES00562	Pro Wrestling (USA) (Rev A)
RNES00563	Probotector II - Return of the Evil Forces (Europe)
RNES00564	Punch-Out!! (USA)
RNES00565	Punisher, The (USA)
RNES00566	Puss n Boots - Pero's Great Adventure (USA)
RNES00567	Puzzle (USA) (Unl)
RNES00568	Puzznic (USA)
RNES00569	Pyramid (USA) (Rev 1) (Unl)
RNES00570	Q-bert (USA)
RNES00571	Qix (USA)
RNES00572	Quarth (Japan)
RNES00573	Quattro Adventure (USA) (Unl)
RNES00574	Quattro Arcade (USA) (Unl)
RNES00575	Quattro Sports (USA) (Unl)
RNES00576	R.B.I. Baseball (USA)
RNES00577	R.B.I. Baseball 2 (USA) (Unl)
RNES00578	R.B.I. Baseball 3 (USA) (Unl)
RNES00579	R.C. Pro-Am (USA) (Rev A)
RNES00580	R.C. Pro-Am II (USA)
RNES00581	Race America (USA)
RNES00582	Racket Attack (USA)
RNES00583	Rackets & Rivals (Europe)
RNES00584	Rad Racer (USA)
RNES00585	Rad Racer II (USA)
RNES00586	Rad Racket - Deluxe Tennis II (USA) (Unl)
RNES00587	Raid 2020 (USA) (Unl)
RNES00588	Raid on Bungeling Bay (USA)
RNES00589	Rainbow Islands (USA)
RNES00590	Rally Bike (USA)
RNES00591	Rambo (USA) (Rev A)
RNES00592	Rampage (USA)
RNES00593	Rampart (USA)
RNES00594	Remote Control (USA)
RNES00595	Ren & Stimpy Show, The - Buckeroo$! (USA)
RNES00596	Renegade (USA)
RNES00597	Rescue - The Embassy Mission (USA)
RNES00598	Ring King (USA)
RNES00599	River City Ransom (USA)
RNES00600	Road Fighter (Europe)
