RBGO00224	Crayon Shin-chan 4 - Ora no Itazura Daihenshin (Japan)
RBGO00225	Crazy Burger (Asia) (Unl)
RBGO00226	Crystal Quest (USA)
RBGO00227	CutThroat Island (USA, Europe)
RBGO00228	Cyraid (USA)
RBGO00229	Daedalian Opus (USA)
RBGO00230	Daffy Duck (Europe)
RBGO00231	Daffy Duck (USA, Europe) (SGB Enhanced)
RBGO00232	Daffy Duck (USA)
RBGO00233	Daiku no Gen-san - Robot Teikoku no Yabou (Japan)
RBGO00234	Daisenryaku (Japan) (Translated En)
RBGO00235	Dan Laser (Asia) (Unl)
RBGO00236	Darkman (USA, Europe)
RBGO00237	Darkman (USA)
RBGO00238	Darkwing Duck (Europe)
RBGO00239	Darkwing Duck (Germany)
RBGO00240	Darkwing Duck (Spain)
RBGO00241	Darkwing Duck (USA)
RBGO00242	David Crane's The Rescue of Princess Blobette (USA)
RBGO00243	Days of Thunder (USA, Europe)
RBGO00244	Dead Heat Scramble (Japan)
RBGO00245	Dead Heat Scramble (USA)
RBGO00246	Deep - Final Mission (Asia) (Unl)
RBGO00247	Dennis (Europe)
RBGO00248	Dennis the Menace (USA)
RBGO00249	Desert Strike - Return to the Gulf (Europe) (SGB Enhanced)
RBGO00250	Desert Strike - Return to the Gulf (USA) (SGB Enhanced)
RBGO00251	Desert Strike - Return to the Gulf (USA)
RBGO00252	Dexterity (USA, Europe)
RBGO00253	Diablo (USA) (Proto)
RBGO00254	Dick Tracy (USA)
RBGO00255	Dig Dug (Europe)
RBGO00256	Dig Dug (USA)
RBGO00257	Dirty Racing (Japan)
RBGO00258	Dodge Boy (Japan)
RBGO00259	Donkey Kong (Japan, USA) (SGB Enhanced)
RBGO00260	Donkey Kong (World) (Rev A) (SGB Enhanced)
RBGO00261	Donkey Kong (World) (Rev A)
RBGO00262	Donkey Kong (World)
RBGO00263	Donkey Kong Land (Japan) (SGB Enhanced)
RBGO00264	Donkey Kong Land (USA, Europe) (SGB Enhanced)
RBGO00265	Donkey Kong Land (USA, Europe)
RBGO00266	Donkey Kong Land 2 (USA, Europe) (SGB Enhanced)
RBGO00267	Donkey Kong Land 2 (USA, Europe)
RBGO00268	Donkey Kong Land III (USA, Europe) (Beta)
RBGO00269	Donkey Kong Land III (USA, Europe) (Rev A) (SGB Enhanced)
RBGO00270	Donkey Kong Land III (USA, Europe) (Rev A)
RBGO00271	Donkey Kong Land III (USA, Europe) (SGB Enhanced)
RBGO00272	Donkey Kong Land III (USA, Europe)
RBGO00273	Doraemon 2 - Animal Planet Densetsu (Japan)
RBGO00274	Doraemon Kart (Japan) (Translated En)
RBGO00275	Doraemon Taiketsu HimitsuDougu!! (Japan)
RBGO00276	Double Dragon (Japan)
RBGO00277	Double Dragon (USA, Europe)
RBGO00278	Double Dragon 3 (USA, Europe)
RBGO00279	Double Dragon II (USA, Europe)
RBGO00280	Double Dribble - 5 on 5 (USA)
RBGO00281	Downtown - Nekketsu Koushinkyoku - Dokodemo Daiundoukai (Japan)
RBGO00282	Dr. Franken (Europe) (En,Fr,De,Es,It,Nl,Sv)
RBGO00283	Dr. Franken (Japan)
RBGO00284	Dr. Franken (USA)
RBGO00285	Dr. Franken II (USA, Europe) (En,Fr,De,Es,It,Nl,Sv)
RBGO00286	Dr. Franken II (USA, Europe)
RBGO00287	Dr. Mario (World) (Beta)
RBGO00288	Dr. Mario (World) (Rev A)
RBGO00289	Dr. Mario (World)
RBGO00290	Dragon Slayer I (Japan)
RBGO00291	Dragon's Lair - The Legend (Europe)
RBGO00292	Dragon's Lair - The Legend (USA)
RBGO00293	DragonHeart (France)
RBGO00294	DragonHeart (USA, Europe)
RBGO00295	Dropzone (Europe)
RBGO00296	Druaga no Tou (Japan)
RBGO00297	Duck Adventures (Asia) (Unl)
RBGO00298	DuckTales (Europe)
RBGO00299	DuckTales (USA)
RBGO00300	DuckTales 2 (Europe)
RBGO00301	DuckTales 2 (USA)
RBGO00302	Dynablaster (Europe)
RBGO00303	Earthworm Jim (Europe)
RBGO00304	Earthworm Jim (USA)
RBGO00305	Elevator Action (Japan)
RBGO00306	Elevator Action (USA, Europe)
RBGO00307	Elite Soccer (USA) (SGB Enhanced)
RBGO00308	Elite Soccer (USA)
RBGO00309	Exodus - Journey to the Promised Land (USA) (Unl)
RBGO00310	Explosive Brick '94 (Asia) (Unl)
RBGO00311	Extra Bases! (USA)
RBGO00312	F-1 Race (World) (Rev A)
RBGO00313	F-1 Race (World)
RBGO00314	F-15 Strike Eagle (USA, Europe)
RBGO00315	F1 Pole Position (USA, Europe)
RBGO00316	Faceball 2000 (USA)
RBGO00317	Fastest Lap (Japan, USA)
RBGO00318	Felix the Cat (USA, Europe)
RBGO00319	Ferrari Grand Prix Challenge (USA, Europe)
RBGO00320	Fidgetts, The (Japan)
RBGO00321	Fidgetts, The (USA, Europe) (En,Fr,De,Es,It,Nl,Sv)
RBGO00322	Fidgetts, The (USA, Europe)
RBGO00323	FIFA International Soccer (USA, Europe) (En,Fr,De,Es) (SGB Enhanced)
RBGO00324	FIFA International Soccer (USA, Europe)
RBGO00325	FIFA Road to the World Cup '98 (Europe)
RBGO00326	FIFA Soccer '96 (USA, Europe) (En,Fr,De,Es) (SGB Enhanced)
RBGO00327	FIFA Soccer '96 (USA, Europe)
RBGO00328	FIFA Soccer '97 (USA, Europe) (SGB Enhanced)
