RN6400206	Forsaken 64 (USA)
RN6400207	Fox Sports College Hoops '99 (USA)
RN6400208	Frogger 2 (USA) (Proto)
RN6400209	G.A.S.P!! Fighters' NEXTream (Europe)
RN6400210	GameShark (USA)
RN6400211	Gauntlet Legends (Europe)
RN6400212	Gauntlet Legends (USA)
RN6400213	Gex 3 - Deep Cover Gecko (Europe) (En,Es,It)
RN6400214	Gex 3 - Deep Cover Gecko (Europe) (Fr,De)
RN6400215	Gex 3 - Deep Cover Gecko (USA)
RN6400216	Gex 64 - Enter the Gecko (Europe)
RN6400217	Gex 64 - Enter the Gecko (USA)
RN6400218	Glover (Europe) (En,Fr,De)
RN6400219	Glover (USA) (Beta)
RN6400220	Glover (USA)
RN6400221	Glover 2 (USA) (Proto 1)
RN6400222	Glover 2 (USA) (Proto 2)
RN6400223	Goemon's Great Adventure (USA)
RN6400224	Golden Nugget 64 (USA)
RN6400225	GoldenEye 007 (Europe)
RN6400226	GoldenEye 007 (USA)
RN6400227	GT 64 - Championship Edition (Europe) (En,Fr,De)
RN6400228	GT 64 - Championship Edition (USA)
RN6400229	GT64 - Championship Edition (USA)
RN6400230	Harvest Moon 64 (USA)
RN6400231	Hercules - The Legendary Journeys (Europe) (En,Fr,De,Es,It,Nl)
RN6400232	Hercules - The Legendary Journeys (USA)
RN6400233	Hexen (Europe)
RN6400234	Hexen (France)
RN6400235	Hexen (Germany)
RN6400236	Hexen (USA)
RN6400237	Hey You, Pikachu! (USA)
RN6400238	Holy Magic Century (Europe)
RN6400239	Holy Magic Century (France)
RN6400240	Holy Magic Century (Germany)
RN6400241	Hot Wheels - Turbo Racing (Europe) (En,Fr,De)
RN6400242	Hot Wheels - Turbo Racing (USA)
RN6400243	HSV Adventure Racing (Europe)
RN6400244	HSV Adventure Racing! (Australia)
RN6400245	Hybrid Heaven (Europe) (En,Fr,De)
RN6400246	Hybrid Heaven (USA)
RN6400247	Hydro Thunder (Europe)
RN6400248	Hydro Thunder (France)
RN6400249	Hydro Thunder (USA)
RN6400250	Iggy's Reckin' Balls (Europe)
RN6400251	Iggy's Reckin' Balls (USA)
RN6400252	In-Fisherman - Bass Hunter 64 (Europe)
RN6400253	In-Fisherman - Bass Hunter 64 (USA)
RN6400254	Indiana Jones and the Infernal Machine (Australia) (Proto)
RN6400255	Indiana Jones and the Infernal Machine (USA)
RN6400256	Indy Racing 2000 (USA)
RN6400257	International Superstar Soccer '98 (Europe)
RN6400258	International Superstar Soccer '98 (USA)
RN6400259	International Superstar Soccer 2000 (Europe) (En,De)
RN6400260	International Superstar Soccer 2000 (Europe) (Fr,It)
RN6400261	International Superstar Soccer 2000 (USA) (En,Es)
RN6400262	International Superstar Soccer 2000 (USA)
RN6400263	International Superstar Soccer 64 (Europe)
RN6400264	International Superstar Soccer 64 (USA)
RN6400265	International Track _ Field - Summer Games (Europe) (En,Fr,De)
RN6400266	International Track _ Field 2000 (USA)
RN6400267	International Track & Field 2000 (USA)
RN6400268	International Track and Field 2000 (USA)
RN6400269	Jeopardy! (USA)
RN6400270	Jeremy McGrath Supercross 2000 (Europe)
RN6400271	Jeremy McGrath Supercross 2000 (USA)
RN6400272	Jet Force Gemini (Europe) (En,Fr,De,Es)
RN6400273	Jet Force Gemini (USA) (Demo) (Kiosk)
RN6400274	Jet Force Gemini (USA)
RN6400275	John Romero's Daikatana (Europe) (En,Fr,De)
RN6400276	John Romero's Daikatana (USA)
RN6400277	Ken Griffey Jr.'s Slugfest (USA)
RN6400278	Killer Instinct Gold (Europe)
RN6400279	Killer Instinct Gold (USA) (Rev 1)
RN6400280	Killer Instinct Gold (USA) (Rev 2)
RN6400281	Killer Instinct Gold (USA)
RN6400282	Kirby 64 - The Crystal Shards (Europe)
RN6400283	Kirby 64 - The Crystal Shards (USA)
RN6400284	Knife Edge - Nose Gunner (Europe)
RN6400285	Knife Edge - Nose Gunner (USA)
RN6400286	Knockout Kings 2000 (Europe)
RN6400287	Knockout Kings 2000 (USA)
RN6400288	Kobe Bryant in NBA Courtside (Europe)
RN6400289	Kobe Bryant in NBA Courtside (USA)
RN6400290	Kobe Bryant's NBA Courtside (USA)
RN6400291	Legend of Zelda - Ocarina of Time - Master Quest (USA) (Hack)
RN6400292	Legend of Zelda, The - Majora's Mask (Europe) (En,Fr,De,Es) (Debug Version)
RN6400293	Legend of Zelda, The - Majora's Mask (Europe) (En,Fr,De,Es) (Rev 1)
RN6400294	Legend of Zelda, The - Majora's Mask (Europe) (En,Fr,De,Es)
RN6400295	Legend of Zelda, The - Majora's Mask (Europe) (GameCube)
RN6400296	Legend of Zelda, The - Majora's Mask (USA) (Demo) (Kiosk)
RN6400297	Legend of Zelda, The - Majora's Mask (USA) (GameCube)
RN6400298	Legend of Zelda, The - Majora's Mask (USA)
